manufacturer,sku,product_name,citation,pmcid,url,sentence
GeneCopoeia,sl032,Luciferase+GFP Dual-Labeled Cancer Cell Lines,"Fuentes I, et al. (2025). A New Class of Anionic Near-Infrared Fluorescent Dyes with 1,6-Diheterophenalene-2,5-dione End Groups. Chem Biomed Imaging DOI: 10.1021/cbmi.5c00205 [Luciferase+GFP Dual-Labeled Cancer Cell Lines, Cat. No. SL032]",PMC13217353,https://europepmc.org/article/PMC/13217353,"Cell Culture and Fluorescence Imaging SKBR3-GFP-Luc cells (Dual labeled stable SK-BR-3 expressing green fluorescent protein (GFP) and luciferase, SL032, GeneCopoeia) were cultured in Dulbecco’s Modified Eagle Medium (DMEM high glucose, Gibco) supplemented with 10% Fetal Bovine Serum (FBS), 1% penicillin/streptomycin and 5 μg/mL puromycin, and maintained in a humidified incubator at 37 °C with 5% CO 2 atmosphere."
GeneCopoeia,lt008,Lenti-Pac 293Ta Cell Line (1.5 x 10^6 cells),"Kim S, et al. (2026). CRISPR-Cpf1-Mediated Gene-Editing System Based on a Single Bidirectional Promoter. Int J Mol Sci DOI: 10.3390/ijms27104162 [Lenti-Pac 293Ta Cell Line, Cat. No. LT008]",PMC13206784,https://europepmc.org/article/PMC/13206784,"HEK293TA cells were purchased from GeneCopoeia (#LT008, GeneCopoeia, Rockville, MD, USA)."
GeneCopoeia,ex-m0768-m01,OmicsLink™ Expression-Ready ORF cDNA Clones: ORF expression clone for BECN1(NM_001313998.2),"Hunter KA, et al. (2026). Detection of Calpain-Mediated Beclin-1 Cleavage for Drug Discovery in Inflammatory Bowel Diseases. Cells DOI: 10.3390/cells15100917 [OmicsLink™ Expression-Ready ORF cDNA Clones for BECN1 (NM_001313998.2), Cat. No. EX-M0768-M01]",PMC13204207,https://europepmc.org/article/PMC/13204207,"To evaluate Beclin-1 degradation in our model of live bacterial stress, WT Caco2 and HCT-116 cells in a T-75 flask (Genessee Scientific, 25-209) were transfected with pRecieverM01-Beclin-1 (GeneCopoeia, EX-M0768-M01, Rockville, MD, USA) using Lipofectamine 2000 (Invitrogen, Carlsbad, CA, USA) at a DNA: transfection reagent ratio of 1:2 according to the manufacturer’s instructions."
GeneCopoeia,sl221|lt016,SARS-CoV-2 related cell line|Lenti-Pac™ SARS-CoV-2 Full Length Spike protein-pseudotyped (D614G) Lentivirus Packaging Kit (40 reactions),"Barrows CML, et al. (2026). Exploring Spike-Dependent and ACE2-Independent SARS-CoV-2 Interactions with Salivary Epithelial Cells in the Absence of ACE2. Biology (Basel) DOI: 10.3390/biology15100778 [SARS-CoV-2 Related Cell Line, Cat. No. SL221; Lenti-Pac™ SARS-CoV-2 Full Length Spike Protein-pseudotyped (D614G) Lentivirus Packaging Kit, Cat. No. LT016]",PMC13203730,https://europepmc.org/article/PMC/13203730,"Additional cell lines, HEK293T (ATCC, Manassas, VA, USA, CRL-3216) and ACE2-HEK293T (Genecopoeia, Rockville, MD, USA, SL221), were cultured in DMEM high glucose (Corning, Corning, NY, USA, 10-013-CV) supplemented with 10% v / v FBS and 1% v / v penicillin–streptomycin. Pseudoviral Infection Full-length SARS-CoV-2 Spike Pseudovirus was generated using the Lenti-Pac™ SARS-CoV-2 Full-Length Spike protein-pseudotyped (D614G) Lentivirus Packaging Kit (Genecopoeia, LT016) according to manufacturing instructions."
GeneCopoeia,ex-m0487-lv105,OmicsLink™ Expression-Ready ORF cDNA Clones: ORF expression clone for KEAP1(NM_012289.4),"Jeong J, et al. (2026). Machine learning-based integration of transcriptome and digital pathology for predicting chemoresistance in muscle-invasive bladder cancer. Exp Mol Med DOI: 10.1038/s12276-026-01718-y [OmicsLink™ Expression-Ready ORF cDNA Clones for KEAP1 (NM_012289.4), Cat. No. EX-M0487-LV105]",PMC13234436,https://europepmc.org/article/PMC/13234436,"For overexpression of the human KEAP1 open reading frame (ORF), pEZ-CMV lentiviral plasmids encoding human KEAP1 (EX-M0487-Lv105) ORF constructs were purchased from GeneCopoeia and transduced into target cells, as previous described 14 , 26 ."
GeneCopoeia,lt001,Lenti-Pac HIV Expression Packaging Kit (20 reactions),"Wang W, et al. (2026). Diverse roles of SERPINE1 in regulating cellular proliferation and invasion. Int J Oncol DOI: 10.3892/ijo.2026.5871 [Lenti-Pac HIV Expression Packaging Kit, Cat. No. LT001]",PMC13004433,https://europepmc.org/article/PMC/13004433,"Lentiviruses were produced using the Lenti-Pac HIV Expression Packaging Kit (cat. no. LT001; GeneCopoeia, inc.) according to the manufacturer's instructions."
GeneCopoeia,lt001-01|lt001-03|lt001-04,Lenti-Pac HIV Expression Packaging Kit (20 reactions)|Lenti-Pac HIV Expression Packaging Kit (20 reactions)|Lenti-Pac HIV Expression Packaging Kit (20 reactions),"Liu C, et al. (2026). Microfluidic Modeling of Macrophage-Induced Cardiac Inflammation Using NF-κB Reporter Cardiomyocytes. Adv Healthc Mater DOI: 10.1002/adhm.202503202 [Lenti-Pac HIV Expression Packaging Kit, Cat. No. LT001-01; Lenti-Pac HIV Expression Packaging Kit, Cat. No. LT001-03; Lenti-Pac HIV Expression Packaging Kit, Cat. No. LT001-04]",PMC13175294,https://europepmc.org/article/PMC/13175294,"HEK293Ta cells were transfected with NFκB constructs and the Lenti‐Pac HIV mix (GeneCopoeia, LT001‐01) in Opti‐MEM culture medium (Gibco, 31985070) and EndoFectin (GeneCopoeia, LT001‐03). Opti‐MEM medium was replaced with fresh culture medium (5% FBS High Glucose‐DMEM) and TiterBoost reagent (GeneCopoeia, LT001‐04) after 8–14 h, and viral supernatant was collected after 36 h and again after another 24 h."
GeneCopoeia,lp464-025,HLUC-Lv201 Firefly luciferase +eGFP Lentifect™ Purified Lentiviral Particles (25 µl x 1 vial)(Old cat # LPP-HLUC-Lv201-025-C),"Moccia MC, et al. (2026). Lighting up PNETs: Creating Murine Models with a Novel Bioluminescent Cell Line. Ann Surg Oncol DOI: 10.1245/s10434-026-19089-z [HLUC-Lv201 Firefly Luciferase +eGFP Lentifect™ Purified Lentiviral Particles, Cat. No. LP464-025]",PMC13083327,https://europepmc.org/article/PMC/13083327,"Lentiviral particles that encode a fusion peptide containing an N-terminal firefly luciferase, a viral 2A linker, and a C-terminal EGFP protein (Cat# LP464-025, GeneCopoeia) were added to cell culture in the presence of 4 µg/mL polybrene for 10 h."
GeneCopoeia,bi001,Biotin Protein Ligase,"Jiang M, et al. (2026). Rapid identification of antigen-specific TCRs for cancer immunotherapy. Biophys Rep DOI: 10.52601/bpr.2025.250003 [Biotin Protein Ligase, Cat. No. BI001]",PMC13153718,https://europepmc.org/article/PMC/13153718,"Step 2.3: Preparation of pHLA tetramer for FACS [ TIMING 3 d] Materials • Inclusion bodies: human β 2 m and HLA-avi • Biotin protein ligase (GeneCopoeia, cat. BI001) • 10 kDa ultrafiltration concentrator (Merck, cat. UFC9010) • Streptavidin from Streptomyces avidinii (Sigma, cat. 9013-20-1), 20 mg/mL in PBS • PE Streptavidin (BD biosciences, cat. 554061) • Phenylmethanesulfonyl fluoride (PMSF; Sigma, cat. 329-98-6) • Equilibration buffer: 20 mmol/L Tris, 50 mmol/L NaCl, 0.5 mmol/L PMSF, pH 8.0 • Superdex 200 increase 10/300 GL (Cytiva, cat. 28-9909-44) • AKTA-pure system (Cytiva) Figure 1 The workflow of the identification of immunopeptide and antigen-specific TCR."
GeneCopoeia,clp-hprm50462,GLuc-ON™ Promoter Reporter Clones: Promoter reporter clone for Human NEUROG2(NM_024019),"Yuan S, et al. (2026). Tau oligomerization induces nuclear lamina invagination and chromatin remodeling in Alzheimer's disease. Acta Neuropathol DOI: 10.1007/s00401-026-03018-1 [GLuc-ON™ Promoter Reporter Clones for Human NEUROG2 (NM_024019), Cat. No. CLP-HPRM50462]",PMC13102949,https://europepmc.org/article/PMC/13102949,"After 48 h, a second round of lentiviral treatment was performed, and 1 µL/mL NEUROG2 lentivirus (GeneCopoeia, CLP-HPRM50462, USA) was added."
GeneCopoeia,sl027,Luciferase+GFP Dual-Labeled Cancer Cell Lines,"Zhou Z, et al. (2026). Advanced CD276-Targeting Dual-Payload Antibody-Drug Conjugates for Cancer Therapy. Cancer Res Commun DOI: 10.1158/2767-9764.crc-26-0059 [Luciferase+GFP Dual-Labeled Cancer Cell Lines, Cat. No. SL027]",PMC13099120,https://europepmc.org/article/PMC/13099120,"Cell lines and cell culture media The human TNBC cell lines, including MDA-MB-231 (ATCC, cat. #HTB-26, RRID:CVCL_0062), MDA-MB-231-firefly luciferase (FLuc; GenTarget, cat. #SC059-Puro, RRID:CVCL_YZ80), MDA-MB-468 (ATCC, cat. #HTB-132, RRID:CVCL_0419), and MDA-MB-468-FLuc-GFP (GeneCopoeia, cat. #SL027, RRID:CVCL_C8XW), were used."
GeneCopoeia,lf001,Luc-Pair™ Duo-Luciferase Assay Kits 2.0 (100rxns),"Decker SC, et al. (2026). Uncoupling neocortical neuron fate and migration via a Let-7-RBX2 axis. Proc Natl Acad Sci U S A DOI: 10.1073/pnas.2528396123 [Luc-Pair™ Duo-Luciferase Assay Kits 2.0, Cat. No. LF001]",PMC13123820,https://europepmc.org/article/PMC/13123820,Luciferase assays were performed using GeneCopoeia Luc-Pair Duo-luciferase Assay Kit 2.0 (GeneCopoeia LF001).
GeneCopoeia,lf062,Secrete-Pair™ Gaussia Luciferase Assay Kit (1000 rxns),"Zhang T, et al. (2026). Hijacking innate immunity to enhance mRNA therapeutics by blocking IFN-P-body-XRN1 axis-mediated degradation. Nat Commun DOI: 10.1038/s41467-026-72025-3 [Secrete-Pair™ Gaussia Luciferase Assay Kit, Cat. No. LF062]",PMC13272658,https://europepmc.org/article/PMC/13272658,"siRNA was from Tsingke Biotechnology co., ltd. Secrete-pair gaussia luciferase assay kit (LF062) was from GeneCopoeia inc. 4-Thio-UTP (B7978), Pseudo-UTP (B7972), 5-Methyl-CTP (B7967), and Cy5-UTP (B8333) were from APExBIO Technology llc. Cap1-GAG (10678ES60) was from Yeasen Biotechnology (Shanghai) co., ltd. RQ1 RNase-Free DNase (M6101) was purchased from Promega."
GeneCopoeia,gc-lf032,Secrete-Pair™ Dual Luminescence Assay Kit (300 rxns),"Lang A, et al. (2026). Tumor-suppressive role of miR-216b impacts cell cycle regulation in high-grade glioma. Acta Neuropathol Commun DOI: 10.1186/s40478-025-02215-5 [Secrete-Pair™ Dual Luminescence Assay Kit, Cat. No. GC-LF032]",PMC13054987,https://europepmc.org/article/PMC/13054987,"Supernatant of the samples was measured in quadruplicates after 48 h and 72 h with the Secrete-pair dual luminescence kit (GeneCopoeia, GC-LF032) and normalized to the SeAP value (GLuc/SeAP ratio)."
GeneCopoeia,ex-a3083-m11,OmicsLink™ Expression-Ready ORF cDNA Clones: ORF expression clone for ABCA7(NM_019112.4),"Nam Y, et al. (2026). Disrupted lipid homeostasis as a pathogenic mechanism in ABCA7-associated Alzheimer's disease risk. Alzheimers Dement DOI: 10.1002/alz.71312 [OmicsLink™ Expression-Ready ORF cDNA Clones for ABCA7 (NM_019112.4), Cat. No. EX-A3083-M11]",PMC13140508,https://europepmc.org/article/PMC/13140508,2 METHODS 2.1 ABCA7 Flag‐ or HA‐ tagged plasmid construction A wild‐type ABCA7 plasmid construct with the human transcript NM_019112 and Flag‐tagged on the N‐terminus (EX‐A3083‐M11) was obtained from GeneCopoeia (Rockville).
GeneCopoeia,ex-w0697-b0,OmicsLink™ Expression-Ready ORF cDNA Clones: ORF expression clone for EIF2D(NM_006893.3),"Bhattacharjee S, et al. (2026). The mechanism of ribosomal recruitment during translation initiation on the Type 2 encephalomyocarditis virus IRES. EMBO J DOI: 10.1038/s44318-026-00735-x [OmicsLink™ Expression-Ready ORF cDNA Clones for EIF2D (NM_006893.3), Cat. No. EX-W0697-B0]",PMC13084055,https://europepmc.org/article/PMC/13084055,"coli Met-tRNA synthetase] Lomakin et al ( 2006 ) pReceiver-B01-eIF2D Skabkin et al ( 2010 ) GeneCopoeia EX-W0697-B0 pET (His6-eIF1A-Cys) variants Yu et al ( 2009 ) Antibodies Oligonucleotides and other sequence-based reagents Primers Life Technologies corp. Appendix Table 4 Chemicals, Enzymes and other reagents T7 RNA polymerase Thermo Fisher Scientific EP0111 Sequenase v2.0 DNA polymerase Thermo Fisher Scientific 70775Y200UN Avian Myeloblastosis Virus Reverse Transcriptase Promega M5108 T4 Polynucleotide Kinase New England Biolabs M0201S EcoRI New England Biolabs R0101S SpeI New England Biolabs R3133S BstNI New England Biolabs R0168S RNase T1 Thermo Fisher Scientific EN0541 Isopropyl-beta-D-thiogalactoside Gold Biotechnology I2481C100 Ni-NTA Agarose QIAGEN 30230 MonoS 5/50 GL column Cytiva Life Sciences 17516801 MonoQ 5/50 GL column Cytiva Life Sciences 17516601 Superdex 200 Increase 5/150 GL Cytiva Life Sciences 28990945 NuPAGE 4–12% Bis-Tris gels Thermo Fisher Scientific NP0322BOX SimplyBlue Safestain Thermo Fisher Scientific LC6065 RiboLock RNase inhibitor Thermo Fisher Scientif"
GeneCopoeia,ef002,EndoFectin™ Lenti transfection reagent (3ml),"Zhao R, et al. (2026). STAT1 accelerates cutaneous melanoma progression through TUBB4A expression regulation. Mol Med Rep DOI: 10.3892/mmr.2026.13828 [EndoFectin™ Lenti Transfection Reagent, Cat. No. EF002]",PMC12930139,https://europepmc.org/article/PMC/12930139,"Briefly, HEK293T cells were co-transfected with 2.5 µg of the lentiviral plasmid, along with packaging and envelope plasmids (Lenti-Pac™ HIV Expression Packaging Kit; GeneCopoeia, inc.) using the EndoFectin™ Lenti transfection reagent (cat. no. EF002; GeneCopoeia, inc.)."
GeneCopoeia,lt008,Lenti-Pac 293Ta Cell Line (1.5 x 10^6 cells),"Ishiguro S, et al. (2025). A multi-kingdom genetic barcoding system for precise clone isolation. Nat Biotechnol DOI: 10.1038/s41587-025-02649-1 [Lenti-Pac 293Ta Cell Line, Cat. No. LT008]",PMC13090120,https://europepmc.org/article/PMC/13090120,"Experiments using HEK293T cells Cell culture HEK293Ta and HEK293T Lenti-X cells were purchased from GeneCopoeia (no. LT008) and Takara (no. 632180), respectively."
